V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
9,927,0.4155,0.2606,0.1127,-1.7347733333333333,-1.399869109947644,-0.48604904632152585,426,0
9,928,0.4614,0.2677,0.1232,-1.8418647166361974,-1.4168297101449276,-0.481789667896679,609,0
9,929,0.2597,0.2326,0.1841,-1.000748898678414,-1.3358441558441558,-0.880593607305936,516,0
9,930,0.2749,0.2441,0.0924,-1.4421652421652422,-1.3402240896358544,-0.7219142857142857,422,0
10,203,0.3671,0.26,0.1052,-1.6358004640371229,-1.4745909090909093,-0.7232325581395349,523,0
10,204,0.4136,0.3289,0.1429,-1.8534833659491194,-1.6705019305019306,-0.8381728880157171,602,0
10,205,0.292,0.3655,0.2874,-1.20724043715847,-1.7157255936675462,-1.2762154696132597,435,0
10,206,0.445,0.34,0.13,-1.9855040322580644,-1.7454581673306773,-0.7998185483870968,600,0
10,207,0.3816,0.3229,0.1509,-1.6531654676258993,-1.5576190476190477,-0.8744819277108434,477,0
10,208,0.3678,0.3944,0.2201,-1.6307046979865771,-1.798892561983471,-1.1981787521079257,677,0
10,209,0.4253,0.4213,0.2027,-1.8805974842767295,-1.8786605783866057,-1.1044006309148264,750,0
10,210,0.321,0.3474,0.1993,-1.4357838983050848,-1.7287866108786611,-1.165845824411135,567,0
10,211,0.3682,0.3971,0.2106,-1.6091279069767441,-1.8612786259541985,-1.3338878143133461,622,0
10,212,0.3545,0.3964,0.1909,-1.6183333333333334,-1.8935152838427949,-1.3215812917594654,550,0
10,213,0.4131,0.3852,0.177,-1.69092936802974,-1.8264749536178109,-1.171484962406015,610,0
10,214,0.4007,0.3656,0.1703,-1.7165873015873014,-1.742085769980507,-1.0427911646586345,599,0
10,215,0.4105,0.3541,0.169,-1.6491422121896164,-1.7090625,-0.9645412844036698,497,0
10,216,0.3794,0.3249,0.1809,-1.599137168141593,-1.6195633187772926,-0.9517897091722595,514,0
10,217,0.3168,0.2754,0.1884,-1.319537037037037,-1.4797727272727272,-0.8632619047619048,483,0
10,218,0.3044,0.2623,0.1405,-1.3769164265129683,-1.413296089385475,-0.7854310344827585,427,0
10,219,0.3169,0.3807,0.235,-1.2469078947368422,-1.7995512820512822,-1.3228018223234626,549,0
