ADM1_NAME,ADM2_NAME,mean
Bihar,Kishanganj,0.5030602310014305
Chandigarh,Chandigarh,0.4506861768317686
Chhattisgarh,Raigarh,0.5004687463547227
Jharkhand,Deoghar,0.4618175667877149
Jharkhand,Godda,0.5113451118516018
Jharkhand,Lohardaga,0.517310270229758
Jharkhand,Ranchi,0.5002282958467558
Jharkhand,Dhanbad,0.49254685954107813
Madhya Pradesh,Balaghat,0.5527316182882288
Madhya Pradesh,Betul,0.4672385483561868
Madhya Pradesh,Bhind,0.4087993540909518
Madhya Pradesh,Bhopal,0.4477322919847313
Madhya Pradesh,Chhatarpur,0.4538472417663103
Madhya Pradesh,Chhindwara,0.47475127161487307
Madhya Pradesh,Damoh,0.44219692082454964
Madhya Pradesh,Datia,0.44856479145707934
Madhya Pradesh,Dewas,0.454357800696999
Madhya Pradesh,Dhar,0.41953923835092616
Madhya Pradesh,Gwalior,0.4240135666268259
Madhya Pradesh,Indore,0.4360976643532516
Madhya Pradesh,Jhabua,0.41928578527257926
Madhya Pradesh,Narsinghpur,0.48941238694809597
Madhya Pradesh,Panna,0.4568329428711009
Madhya Pradesh,Raisen,0.4583143413746063
Madhya Pradesh,Ratlam,0.43341949888707176
Madhya Pradesh,Rewa,0.46687308644369846
Madhya Pradesh,Sagar,0.4414548029860461
Madhya Pradesh,Satna,0.4697359532553239
Madhya Pradesh,Sehore,0.4571300102933882
Madhya Pradesh,Seoni,0.47067409379210395
Madhya Pradesh,Shajapur,0.4424771245386084
Madhya Pradesh,Shivpuri,0.4355008112532072
Madhya Pradesh,Sidhi,0.4913132825214968
Madhya Pradesh,Tikamgarh,0.4525098225444146
Madhya Pradesh,Ujjain,0.4476355567500402
Madhya Pradesh,Vidisha,0.44533395846363294
Uttar Pradesh,Agra,0.4405615000004749
Uttar Pradesh,Azamgarh,0.4639996500207116
Uttar Pradesh,Ballia,0.4250158718715815
Uttar Pradesh,Bara Banki,0.5015003941232804
Uttar Pradesh,Bareilly,0.5151841180294894
Uttar Pradesh,Bijnor,0.5540779906111405
Uttar Pradesh,Etah,0.4665689834041757
Uttar Pradesh,Fatehpur,0.4552770815144414
Uttar Pradesh,Ghaziabad,0.483045652730464
Uttar Pradesh,Ghazipur,0.4586841944293116
Uttar Pradesh,Hardoi,0.4851979316311814
Uttar Pradesh,Jalaun,0.4236637802600605
Uttar Pradesh,Jaunpur,0.4798390379791302
Uttar Pradesh,Jhansi,0.43491426247604176
Uttar Pradesh,Kanpur,0.4163279062786162
Uttar Pradesh,Lakhimpur Kheri,0.5282178844023517
Uttar Pradesh,Lalitpur,0.4470049614904918
Uttar Pradesh,Lucknow,0.47716908494760313
Uttar Pradesh,Mainpuri,0.4632691088206481
Uttar Pradesh,Mirzapur,0.4390127821917074
Uttar Pradesh,Muzaffarnagar,0.5478488845930504
Uttar Pradesh,Pilibhit,0.5476276823392378
Uttar Pradesh,Pratapgarh,0.4977972416454825
Uttar Pradesh,Rae Bareli,0.49026946450058834
Uttar Pradesh,Rampur,0.5358720762794349
Uttar Pradesh,Saharanpur,0.559626965143321
Uttar Pradesh,Shahjahanpur,0.5069553883150217
Uttar Pradesh,Sitapur,0.5082621253130397
Uttar Pradesh,Sultanpur,0.495235890903697
Uttar Pradesh,Unnao,0.46943578767145183
Uttar Pradesh,Badaun,0.4785247861348249
Uttar Pradesh,Firozabad,0.4405557652881433
Uttar Pradesh,Kanpur Dehat,0.45151492516201136
Uttar Pradesh,Mau,0.46030419364114067
Uttar Pradesh,Siddharth Nagar,0.4795870690673506
Uttar Pradesh,Sonbhadra,0.47021206455215425
Uttarakhand,Dehra Dun,0.6126486151049992
Uttarakhand,Pauri Garhwal,0.6342625130694116
Uttarakhand,Haridwar,0.5579297689131326
Uttarakhand,Tehri Garhwal,0.589729175660311
Uttarakhand,Uttarkashi,0.3959437893007352
Andhra Pradesh,Adilabad,0.5047471741883088
Andhra Pradesh,Anantapur,0.380229730453257
Andhra Pradesh,Chittoor,0.5112023632109445
Andhra Pradesh,Cuddapah,0.4471318620959025
Andhra Pradesh,East Godavari,0.5940287639633922
Andhra Pradesh,Guntur,0.489493752928063
Andhra Pradesh,Hyderabad,0.2840868429968824
Andhra Pradesh,Karimnagar,0.5052888237487784
Andhra Pradesh,Khammam,0.549854776202252
Andhra Pradesh,Krishna,0.5106152563750581
Andhra Pradesh,Kurnool,0.41378147900736634
Andhra Pradesh,Mahbubnagar,0.4216360616311438
Andhra Pradesh,Medak,0.45090828582890313
Andhra Pradesh,Nalgonda,0.45484391448433403
Andhra Pradesh,Nellore,0.46659182341842403
Andhra Pradesh,Nizamabad,0.476650792924175
Andhra Pradesh,Prakasam,0.45859593955642625
Andhra Pradesh,Rangareddi,0.43445712525599683
Andhra Pradesh,Srikakulam,0.5546287362138522
Andhra Pradesh,Vishakhapatnam,0.612689797757649
Andhra Pradesh,Vizianagaram,0.5784899240980652
Andhra Pradesh,Warangal,0.5248461308265748
Andhra Pradesh,West Godavari,0.558030247559137
Goa,North Goa,0.5846812676245124
Goa,South Goa,0.6144763765130508
Gujarat,Surat,0.45157093519813096
Gujarat,The Dangs,0.4923328776824808
Gujarat,Valsad,0.4876815852615406
Gujarat,Navsari,0.5175832362317698
Karnataka,Belgaum,0.4631303513113451
Karnataka,Bellary,0.3939140843086261
Karnataka,Bidar,0.43109009631235873
Karnataka,Bijapur,0.37224430136518855
Karnataka,Chikmagalur,0.5891831555931135
Karnataka,Dakshin Kannad,0.6698759982231351
Karnataka,Dharwad,0.4434899589112106
Karnataka,Gulbarga,0.410571564915651
Karnataka,Hassan,0.5231756103373181
Karnataka,Kodagu,0.6504687227424396
Karnataka,Kolar,0.4393600428831339
Karnataka,Mandya,0.5041654482882227
Karnataka,Mysore,0.5062352342189361
Karnataka,Raichur,0.4055068903501776
Karnataka,Shimoga,0.5657012531650455
Karnataka,Tumkur,0.44656788112138696
Karnataka,Uttar Kannand,0.6186877517070808
Karnataka,Bagalkot,0.4129682487621063
Karnataka,Bangalore Rural,0.48278780760718876
Karnataka,Bangalore Urban,0.4138285405208653
Karnataka,Chamrajnagar,0.5364307456426172
Karnataka,Chitradurga,0.3914715666062792
Karnataka,Davanagere,0.47066157003297604
Karnataka,Gadag,0.3728155569731362
Karnataka,Haveri,0.4524176566773645
Karnataka,Koppal,0.3717154781728522
Karnataka,Udupi,0.6321007887827734
Kerala,Kannur,0.6724917241334001
Kerala,Ernakulam,0.6350060286902665
Kerala,Idukki,0.6809750599049977
Kerala,Kasaragod,0.6618323937471379
Kerala,Kottayam,0.6787106495796016
Kerala,Kozhikode,0.6698941231925781
Kerala,Malappuram,0.6652798434410231
Kerala,Palakkad,0.6432253280618189
Kerala,Pattanamtitta,0.7080751005735874
Kerala,Kollam,0.6858248963884174
Kerala,Thrissur,0.6306135528699094
Kerala,Thiruvananthapuram,0.6946354094849719
Kerala,Wayanad,0.6615279983709548
Kerala,Alappuzha,0.5826769038228947
Lakshadweep,Kavaratti,0.49562054596889776
Maharashtra,Akola,0.44857750752941916
Maharashtra,Amravati,0.473391991926231
Maharashtra,Bhandara,0.4982680026043413
Maharashtra,Buldana,0.44485276078603275
Maharashtra,Chandrapur,0.5026381006909624
Maharashtra,Dhule,0.3943811435867163
Maharashtra,Garhchiroli,0.5651122929590879
Maharashtra,Jalgaon,0.4587926880530246
Maharashtra,Kolhapur,0.5140284186556604
Maharashtra,Latur,0.43852157708360373
Maharashtra,Nagpur,0.4753492123117956
Maharashtra,Nanded,0.480139894540478
Maharashtra,Nashik,0.4127814179773326
Maharashtra,Osmanabad,0.4059980677745919
Maharashtra,Pune,0.4352642878770119
Maharashtra,Raigarh,0.501643467129797
Maharashtra,Ratnagiri,0.5591429367909497
Maharashtra,Sindhudurg,0.581155017416067
Maharashtra,Sangli,0.4088800836610829
Maharashtra,Satara,0.4302664106174688
Maharashtra,Solapur,0.4034533680698598
Maharashtra,Thane,0.4632870896106954
Maharashtra,Wardha,0.4715258098512646
Maharashtra,Yavatmal,0.47645002363869626
Maharashtra,Aurangabad,0.4309234971748655
Maharashtra,Ahmednagar,0.4137739120004245
Maharashtra,Bid,0.42180787722238083
Maharashtra,Gondiya,0.5219990827186768
Maharashtra,Hingoli,0.4615243743749632
Maharashtra,Jalna,0.44210875285069273
Maharashtra,Mumbai Suburban,0.4031644587058388
Maharashtra,Mumbai city,0.2981506892761588
Maharashtra,Parbhani,0.4719297422388149
Maharashtra,Washim,0.44972482149314674
Orissa,Cuttack,0.5247145554452106
Orissa,Dhenkanal,0.5800118162213529
Orissa,Ganjam,0.6070504899484079
Orissa,Kalahandi,0.5626626737495243
Orissa,Keonjhar,0.5574484201679264
Orissa,Koraput,0.5293206187733185
Orissa,Mayurbhanj,0.5951696275325647
Orissa,Puri,0.47067634334129194
Orissa,Sambalpur,0.5614085957673886
Orissa,Angul,0.5744799109954501
Orissa,Baleshwar,0.5222355826628543
Orissa,Baragarh,0.5157271581093711
Orissa,Bhadrak,0.44189614894230056
Orissa,Bolangir,0.5210954647819733
Orissa,Boudh,0.5891360613447234
Orissa,Deogarh,0.5380264117577159
Orissa,Gajapati,0.6438280325288194
Orissa,Jagatsinghpur,0.4722352203767858
Orissa,Jajpur,0.5065849587235316
Orissa,Jharsuguda,0.42399860005668016
Orissa,Kandhamal,0.6467346953859112
Orissa,Kendrapara,0.4881252360318266
Orissa,Khordha,0.5393435352904666
Orissa,Malkangiri,0.5533994388870805
Orissa,Nabarangpur,0.480048315520201
Orissa,Nayagarh,0.6294919565100252
Orissa,Nuapada,0.5207444896730723
Orissa,Rayagada,0.6094970664055607
Orissa,Sonepur,0.51570641291502
Tamil Nadu,Thoothukudi,0.3999562207925294
Tamil Nadu,Coimbatore,0.5304336348799117
Tamil Nadu,Dharmapuri,0.523132963279149
Tamil Nadu,Virudhunagar,0.44137948509065206
Tamil Nadu,Kanniyakumari,0.6869273476389455
Tamil Nadu,Nilgiris,0.6471185202278712
Tamil Nadu,Erode,0.5177847268815778
Tamil Nadu,Pudukkottai,0.4545802166017089
Tamil Nadu,Dindigul,0.5430466451078481
Tamil Nadu,Ramanathapuram,0.3961308127582723
